Year,County Name,Age Group,Victims
2014,Benton,5 Years Old and Younger,18
2005,Taylor,5 Years Old and Younger,6
2012,Wright,6 to 10 Years Old,33
2006,Davis,6 to 10 Years Old,11
2014,Marshall,11 Years Old and Older,25
2015,Plymouth,11 Years Old and Older,7
2009,Osceola,5 Years Old and Younger,16
2012,Jefferson,6 to 10 Years Old,16
2012,Grundy,5 Years Old and Younger,8
2005,Adair,6 to 10 Years Old,15
2013,Lee,11 Years Old and Older,47
2006,Howard,6 to 10 Years Old,8
2005,Wapello,11 Years Old and Older,109
2006,Appanoose,5 Years Old and Younger,50
2012,Benton,5 Years Old and Younger,33
2011,Scott,11 Years Old and Older,165
2011,Greene,5 Years Old and Younger,5
2006,Keokuk,6 to 10 Years Old,16
2015,Story,6 to 10 Years Old,52
2008,Floyd,11 Years Old and Older,26
2006,Shelby,5 Years Old and Younger,19
2012,Decatur,5 Years Old and Younger,15
2006,Pottawattamie,5 Years Old and Younger,262
2010,OBrien,6 to 10 Years Old,19
2004,Monroe,6 to 10 Years Old,23
2007,Mitchell,5 Years Old and Younger,13
2017,Woodbury,5 Years Old and Younger,301
2009,Buena Vista,5 Years Old and Younger,45
2013,Clinton,5 Years Old and Younger,129
2008,Story,6 to 10 Years Old,57
2013,Bremer,5 Years Old and Younger,23
2009,Madison,5 Years Old and Younger,39
2005,Adair,5 Years Old and Younger,12
2017,Shelby,6 to 10 Years Old,9
2006,Monona,11 Years Old and Older,12
2012,Grundy,6 to 10 Years Old,10
2017,OBrien,11 Years Old and Older,28
2012,Marshall,5 Years Old and Younger,102
2017,Grundy,6 to 10 Years Old,11
2006,Calhoun,11 Years Old and Older,13
2004,Hamilton,11 Years Old and Older,9
2013,Linn,5 Years Old and Younger,406
2011,Des Moines,5 Years Old and Younger,96
2011,Buena Vista,5 Years Old and Younger,48
2017,Butler,5 Years Old and Younger,15
2005,Jefferson,5 Years Old and Younger,49
2010,Butler,11 Years Old and Older,19
2013,Scott,11 Years Old and Older,151
2006,Plymouth,6 to 10 Years Old,16
2007,Worth,6 to 10 Years Old,10
2009,Woodbury,5 Years Old and Younger,267
2012,Marion,6 to 10 Years Old,25
2005,Dickinson,6 to 10 Years Old,13
2005,Winnebago,11 Years Old and Older,9
2012,Dubuque,11 Years Old and Older,56
2011,Davis,11 Years Old and Older,13
2015,Montgomery,6 to 10 Years Old,15
2012,Polk,11 Years Old and Older,427
2011,Jasper,6 to 10 Years Old,42
2007,Taylor,11 Years Old and Older,6
2007,Fayette,6 to 10 Years Old,21
2010,Webster,11 Years Old and Older,69
2004,Wayne,6 to 10 Years Old,6
2013,Wayne,5 Years Old and Younger,7
2011,OBrien,6 to 10 Years Old,14
2017,Sioux,5 Years Old and Younger,25
2012,Clay,11 Years Old and Older,23
2008,Harrison,5 Years Old and Younger,22
2011,Sioux,6 to 10 Years Old,14
2017,Clarke,11 Years Old and Older,11
2006,Monroe,5 Years Old and Younger,23
2004,Dallas,6 to 10 Years Old,62
