Year,County Name,Age Group,Victims
2014,Des Moines,5 Years Old and Younger,58
2008,Marion,11 Years Old and Older,24
2004,Page,5 Years Old and Younger,27
2012,Harrison,11 Years Old and Older,10
2011,Ringgold,11 Years Old and Older,3
2004,Audubon,6 to 10 Years Old,5
2017,Jasper,5 Years Old and Younger,34
2017,Keokuk,6 to 10 Years Old,13
2008,Decatur,5 Years Old and Younger,28
2008,Cherokee,6 to 10 Years Old,4
2012,Page,11 Years Old and Older,28
2013,Tama,5 Years Old and Younger,24
2006,Sac,5 Years Old and Younger,15
2008,Taylor,6 to 10 Years Old,3
2017,Adams,11 Years Old and Older,5
2011,Franklin,6 to 10 Years Old,9
2004,Greene,11 Years Old and Older,7
2008,Guthrie,5 Years Old and Younger,17
2016,Guthrie,5 Years Old and Younger,15
2007,Ringgold,6 to 10 Years Old,6
2006,Guthrie,11 Years Old and Older,6
2013,Scott,6 to 10 Years Old,245
2009,Pocahontas,6 to 10 Years Old,9
2006,Sioux,6 to 10 Years Old,12
2017,Delaware,6 to 10 Years Old,6
2008,Adair,11 Years Old and Older,8
2012,Hamilton,5 Years Old and Younger,39
2011,Ringgold,6 to 10 Years Old,3
2013,Delaware,11 Years Old and Older,7
2011,Cass,5 Years Old and Younger,39
2007,Hamilton,5 Years Old and Younger,28
2009,Ringgold,6 to 10 Years Old,7
2009,Fremont,6 to 10 Years Old,6
2015,Polk,5 Years Old and Younger,685
2017,Adair,6 to 10 Years Old,12
2007,Henry,11 Years Old and Older,23
2015,Lyon,5 Years Old and Younger,5
2013,Sac,6 to 10 Years Old,17
2005,Decatur,6 to 10 Years Old,13
2005,Webster,11 Years Old and Older,60
2004,Chickasaw,6 to 10 Years Old,14
2005,Franklin,6 to 10 Years Old,10
2015,Jasper,6 to 10 Years Old,44
2013,Mahaska,6 to 10 Years Old,21
2009,Clinton,5 Years Old and Younger,148
2011,Pottawattamie,6 to 10 Years Old,118
2013,Pottawattamie,5 Years Old and Younger,194
2007,Keokuk,11 Years Old and Older,12
2005,Lucas,5 Years Old and Younger,30
2013,Cherokee,5 Years Old and Younger,19
2006,Wayne,5 Years Old and Younger,14
2013,Fremont,5 Years Old and Younger,4
2006,Black Hawk,11 Years Old and Older,181
2009,Cass,11 Years Old and Older,9
2017,Poweshiek,5 Years Old and Younger,21
2005,Hamilton,5 Years Old and Younger,30
2015,Guthrie,11 Years Old and Older,9
2005,Marshall,11 Years Old and Older,27
2013,Hamilton,11 Years Old and Older,30
2013,Henry,11 Years Old and Older,22
2004,Adams,6 to 10 Years Old,4
2011,Monroe,5 Years Old and Younger,20
2012,Union,5 Years Old and Younger,28
2014,Cherokee,5 Years Old and Younger,8
2012,Winnebago,5 Years Old and Younger,17
2012,Audubon,6 to 10 Years Old,1
2005,Boone,6 to 10 Years Old,20
2017,Dubuque,11 Years Old and Older,66
2011,Hancock,5 Years Old and Younger,10
2007,Davis,5 Years Old and Younger,5
2005,Fayette,6 to 10 Years Old,32
2006,Woodbury,6 to 10 Years Old,161
2012,Howard,5 Years Old and Younger,8
2010,Louisa,11 Years Old and Older,27
2007,Winneshiek,6 to 10 Years Old,9
2010,Adair,5 Years Old and Younger,13
2011,Carroll,5 Years Old and Younger,35
2011,Iowa,11 Years Old and Older,8
2010,Monroe,6 to 10 Years Old,12
2005,Adams,11 Years Old and Older,4
2017,Floyd,5 Years Old and Younger,29
2009,Crawford,5 Years Old and Younger,31
2004,Benton,11 Years Old and Older,33
2010,Linn,5 Years Old and Younger,456
2006,Fayette,5 Years Old and Younger,74
2005,Jasper,11 Years Old and Older,29
2017,Cass,5 Years Old and Younger,29
2005,Iowa,6 to 10 Years Old,11
2014,Harrison,5 Years Old and Younger,12
2017,Pottawattamie,11 Years Old and Older,111
2008,Fremont,5 Years Old and Younger,11
2013,OBrien,6 to 10 Years Old,18
2011,Louisa,5 Years Old and Younger,25
2004,Wayne,11 Years Old and Older,11
2009,Muscatine,6 to 10 Years Old,58
2004,Allamakee,5 Years Old and Younger,18
2006,Lucas,11 Years Old and Older,18
2008,Union,11 Years Old and Older,11
2014,Pocahontas,6 to 10 Years Old,8
2007,Montgomery,6 to 10 Years Old,17
2012,Adams,5 Years Old and Younger,10
2006,Kossuth,6 to 10 Years Old,17
2012,Sioux,5 Years Old and Younger,22
2012,Mahaska,6 to 10 Years Old,36
2013,Allamakee,11 Years Old and Older,6
2012,Hardin,5 Years Old and Younger,49
2004,Tama,5 Years Old and Younger,31
2010,Plymouth,6 to 10 Years Old,20
2007,Black Hawk,6 to 10 Years Old,230
2017,Iowa,11 Years Old and Older,4
2007,Dickinson,6 to 10 Years Old,14
2006,Buena Vista,6 to 10 Years Old,17
2010,Jackson,5 Years Old and Younger,30
2004,Buena Vista,5 Years Old and Younger,47
2010,Montgomery,5 Years Old and Younger,32
2013,Mitchell,6 to 10 Years Old,4
2017,Story,5 Years Old and Younger,105
2011,Shelby,11 Years Old and Older,5
2010,Buena Vista,5 Years Old and Younger,63
2014,Dallas,5 Years Old and Younger,46
2010,Montgomery,6 to 10 Years Old,20
2006,Iowa,6 to 10 Years Old,11
2004,Decatur,11 Years Old and Older,16
2006,Fayette,6 to 10 Years Old,29
2009,Webster,5 Years Old and Younger,123
2014,Monona,5 Years Old and Younger,5
2011,Franklin,5 Years Old and Younger,22
2006,Winneshiek,11 Years Old and Older,10
2009,Des Moines,6 to 10 Years Old,61
2005,Shelby,6 to 10 Years Old,11
2013,Des Moines,11 Years Old and Older,36
2005,Sac,11 Years Old and Older,6
2009,Humboldt,5 Years Old and Younger,25
2010,Scott,6 to 10 Years Old,191
2004,Winnebago,5 Years Old and Younger,28
2010,Bremer,11 Years Old and Older,22
2011,Buchanan,6 to 10 Years Old,22
2004,Boone,5 Years Old and Younger,47
2012,Shelby,5 Years Old and Younger,14
2013,Woodbury,5 Years Old and Younger,250
2017,Osceola,5 Years Old and Younger,5
2014,Shelby,5 Years Old and Younger,8
2015,Mahaska,5 Years Old and Younger,29
2013,Franklin,6 to 10 Years Old,19
2008,Louisa,11 Years Old and Older,14
2006,Lyon,11 Years Old and Older,9
2008,Greene,5 Years Old and Younger,11
2008,Muscatine,6 to 10 Years Old,50
2013,Fayette,5 Years Old and Younger,36
2007,Hancock,6 to 10 Years Old,8
2005,Davis,6 to 10 Years Old,7
2009,Cherokee,11 Years Old and Older,6
2011,Poweshiek,5 Years Old and Younger,31
2010,Carroll,11 Years Old and Older,16
2017,Buena Vista,5 Years Old and Younger,29
2010,Cerro Gordo,11 Years Old and Older,57
2005,Ida,5 Years Old and Younger,13
2004,Delaware,6 to 10 Years Old,24
2017,Clarke,6 to 10 Years Old,15
2007,Adams,5 Years Old and Younger,4
2009,Story,11 Years Old and Older,43
2009,Union,5 Years Old and Younger,32
2006,Franklin,11 Years Old and Older,15
2006,Mahaska,6 to 10 Years Old,45
2004,Sac,6 to 10 Years Old,10
2017,Wright,5 Years Old and Younger,13
2012,Guthrie,5 Years Old and Younger,11
2009,Lucas,6 to 10 Years Old,8
2013,Butler,6 to 10 Years Old,18
2005,Bremer,5 Years Old and Younger,28
2014,OBrien,5 Years Old and Younger,13
2013,Davis,5 Years Old and Younger,8
2014,Palo Alto,5 Years Old and Younger,7
2012,Allamakee,11 Years Old and Older,7
2006,Adair,5 Years Old and Younger,12
2005,Howard,6 to 10 Years Old,10
2005,Worth,5 Years Old and Younger,18
2010,Calhoun,6 to 10 Years Old,11
2014,Bremer,6 to 10 Years Old,6
2009,Buena Vista,11 Years Old and Older,24
2012,Worth,5 Years Old and Younger,13
2011,Worth,11 Years Old and Older,1
2017,Appanoose,11 Years Old and Older,20
2005,Mitchell,11 Years Old and Older,16
2005,Winneshiek,6 to 10 Years Old,10
2014,Floyd,6 to 10 Years Old,10
2008,Jefferson,11 Years Old and Older,18
2012,Clinton,6 to 10 Years Old,72
2006,Henry,6 to 10 Years Old,28
2009,Marion,6 to 10 Years Old,21
2005,Poweshiek,5 Years Old and Younger,34
2010,Crawford,11 Years Old and Older,21
2008,Allamakee,5 Years Old and Younger,11
2013,Audubon,11 Years Old and Older,3
2008,Des Moines,6 to 10 Years Old,41
2008,Washington,5 Years Old and Younger,30
2015,Mahaska,6 to 10 Years Old,20
2008,Adams,11 Years Old and Older,2
2014,Lyon,5 Years Old and Younger,5
2004,OBrien,5 Years Old and Younger,26
2006,Jasper,6 to 10 Years Old,32
2013,Audubon,6 to 10 Years Old,4
2007,Adair,11 Years Old and Older,8
2007,Buena Vista,11 Years Old and Older,18
2009,Benton,11 Years Old and Older,30
2006,Bremer,5 Years Old and Younger,26
2008,Osceola,11 Years Old and Older,3
2013,Clinton,6 to 10 Years Old,68
2006,Monona,6 to 10 Years Old,12
2005,Hamilton,11 Years Old and Older,17
2017,Monona,6 to 10 Years Old,8
2005,Mills,5 Years Old and Younger,18
2013,Cherokee,11 Years Old and Older,9
2013,Washington,11 Years Old and Older,26
2014,Dubuque,11 Years Old and Older,40
2004,Johnson,11 Years Old and Older,72
2017,Marshall,11 Years Old and Older,53
2010,Winneshiek,11 Years Old and Older,5
2005,Cherokee,5 Years Old and Younger,17
2011,Bremer,11 Years Old and Older,9
2005,Ringgold,5 Years Old and Younger,6
2010,Sioux,5 Years Old and Younger,28
2011,Cass,11 Years Old and Older,16
2009,Lee,6 to 10 Years Old,57
2008,Butler,6 to 10 Years Old,10
2013,Humboldt,5 Years Old and Younger,25
2017,Henry,5 Years Old and Younger,33
2011,Van Buren,6 to 10 Years Old,2
2009,Plymouth,6 to 10 Years Old,30
2017,Monona,11 Years Old and Older,8
2010,Lee,11 Years Old and Older,48
2006,Van Buren,5 Years Old and Younger,14
2017,Howard,5 Years Old and Younger,20
2006,Adams,11 Years Old and Older,1
2008,Scott,6 to 10 Years Old,129
2011,Humboldt,6 to 10 Years Old,8
2004,Boone,6 to 10 Years Old,22
2014,Cedar,5 Years Old and Younger,13
2011,Woodbury,5 Years Old and Younger,243
2012,Cerro Gordo,6 to 10 Years Old,61
2014,Mills,5 Years Old and Younger,12
2009,Mahaska,6 to 10 Years Old,27
2012,Mills,5 Years Old and Younger,19
2017,Page,6 to 10 Years Old,25
2011,Shelby,5 Years Old and Younger,21
2008,Tama,11 Years Old and Older,20
2012,Guthrie,6 to 10 Years Old,14
2012,Pottawattamie,6 to 10 Years Old,93
2013,Worth,6 to 10 Years Old,7
2012,Clay,5 Years Old and Younger,31
2008,Worth,5 Years Old and Younger,15
2013,Floyd,5 Years Old and Younger,53
2010,Hardin,5 Years Old and Younger,50
2008,Shelby,6 to 10 Years Old,13
2017,Dubuque,5 Years Old and Younger,188
2004,Washington,6 to 10 Years Old,24
2010,Cass,11 Years Old and Older,18
2017,Warren,11 Years Old and Older,38
2005,Dubuque,6 to 10 Years Old,102
2009,Jefferson,11 Years Old and Older,9
2017,Union,6 to 10 Years Old,32
2010,Winneshiek,6 to 10 Years Old,9
2010,Emmet,6 to 10 Years Old,5
2017,Palo Alto,11 Years Old and Older,12
2007,Harrison,11 Years Old and Older,21
2012,Taylor,11 Years Old and Older,5
2005,Wayne,11 Years Old and Older,11
2012,Humboldt,11 Years Old and Older,6
2013,Hamilton,5 Years Old and Younger,45
2005,Polk,5 Years Old and Younger,880
2014,Cerro Gordo,5 Years Old and Younger,58
2007,Montgomery,5 Years Old and Younger,38
2006,Jefferson,6 to 10 Years Old,28
2012,Lucas,5 Years Old and Younger,19
2014,Davis,6 to 10 Years Old,5
2017,Van Buren,11 Years Old and Older,9
2014,Guthrie,5 Years Old and Younger,11
2013,Pocahontas,5 Years Old and Younger,20
2004,Mills,11 Years Old and Older,13
2007,Cedar,11 Years Old and Older,11
2006,Crawford,5 Years Old and Younger,32
2010,Greene,5 Years Old and Younger,13
2011,Scott,6 to 10 Years Old,209
2015,Howard,6 to 10 Years Old,9
2010,Washington,6 to 10 Years Old,18
2005,Floyd,5 Years Old and Younger,51
2004,Mahaska,11 Years Old and Older,31
2012,Appanoose,6 to 10 Years Old,17
2006,Benton,5 Years Old and Younger,56
2006,Jackson,6 to 10 Years Old,16
2006,Humboldt,5 Years Old and Younger,15
2013,Sac,5 Years Old and Younger,13
2008,Kossuth,11 Years Old and Older,13
2013,Buena Vista,11 Years Old and Older,15
2012,Jefferson,5 Years Old and Younger,26
2005,Humboldt,5 Years Old and Younger,23
2008,Story,11 Years Old and Older,32
2011,Dallas,11 Years Old and Older,30
2009,Calhoun,11 Years Old and Older,21
2005,Worth,11 Years Old and Older,11
2014,Dickinson,6 to 10 Years Old,8
2004,Montgomery,11 Years Old and Older,24
2007,Mitchell,11 Years Old and Older,10
2014,Wright,5 Years Old and Younger,18
2012,Cerro Gordo,5 Years Old and Younger,140
2013,Wapello,5 Years Old and Younger,96
2009,Johnson,6 to 10 Years Old,66
2011,Adams,6 to 10 Years Old,7
2014,Adams,5 Years Old and Younger,5
2004,OBrien,11 Years Old and Older,20
2017,Appanoose,6 to 10 Years Old,34
2010,Emmet,11 Years Old and Older,8
2016,Davis,6 to 10 Years Old,3
2006,Boone,5 Years Old and Younger,29
2010,Wright,6 to 10 Years Old,30
2007,Sac,6 to 10 Years Old,8
2012,Tama,11 Years Old and Older,19
2006,Osceola,11 Years Old and Older,6
2013,Grundy,5 Years Old and Younger,15
2017,Clayton,11 Years Old and Older,14
2009,Harrison,6 to 10 Years Old,12
2008,Dubuque,11 Years Old and Older,71
2004,Benton,5 Years Old and Younger,59
2017,Adair,5 Years Old and Younger,19
2005,Hancock,5 Years Old and Younger,23
2012,Scott,5 Years Old and Younger,371
2013,Floyd,6 to 10 Years Old,29
2013,Osceola,5 Years Old and Younger,8
2010,Pocahontas,6 to 10 Years Old,4
2005,Clay,5 Years Old and Younger,46
2011,Monona,5 Years Old and Younger,16
2005,Butler,11 Years Old and Older,13
2012,Johnson,5 Years Old and Younger,203
2008,Jasper,11 Years Old and Older,40
2010,Guthrie,11 Years Old and Older,9
2004,Floyd,6 to 10 Years Old,40
2005,Muscatine,5 Years Old and Younger,127
2013,Worth,5 Years Old and Younger,14
2010,Jasper,6 to 10 Years Old,54
2013,Lucas,6 to 10 Years Old,9
2017,Delaware,5 Years Old and Younger,12
2013,Clay,6 to 10 Years Old,34
2006,Dallas,6 to 10 Years Old,52
2016,Carroll,6 to 10 Years Old,24
2010,Osceola,6 to 10 Years Old,8
2010,Humboldt,11 Years Old and Older,7
2008,Lee,5 Years Old and Younger,90
2013,Wayne,6 to 10 Years Old,15
2017,Wright,11 Years Old and Older,17
2017,Greene,5 Years Old and Younger,18
2007,Jasper,11 Years Old and Older,57
2011,Howard,5 Years Old and Younger,14
2008,Audubon,11 Years Old and Older,6
2005,Delaware,5 Years Old and Younger,36
2012,Calhoun,6 to 10 Years Old,11
2015,Hamilton,5 Years Old and Younger,23
2014,Buchanan,11 Years Old and Older,5
2010,Van Buren,5 Years Old and Younger,17
2011,Lyon,11 Years Old and Older,9
2004,Pocahontas,5 Years Old and Younger,4
2004,Guthrie,6 to 10 Years Old,17
2014,Buena Vista,6 to 10 Years Old,16
2006,Jasper,11 Years Old and Older,24
2009,Greene,6 to 10 Years Old,19
2007,Howard,5 Years Old and Younger,12
2017,Emmet,11 Years Old and Older,22
2005,OBrien,6 to 10 Years Old,12
2007,Dallas,5 Years Old and Younger,71
2004,Sac,11 Years Old and Older,8
2016,Keokuk,6 to 10 Years Old,10
2008,Mahaska,5 Years Old and Younger,40
2013,Hancock,11 Years Old and Older,13
2017,Sioux,6 to 10 Years Old,16
2009,Buchanan,6 to 10 Years Old,22
2016,Lyon,11 Years Old and Older,12
2011,Ida,6 to 10 Years Old,13
2012,Union,11 Years Old and Older,24
2015,Decatur,6 to 10 Years Old,6
2006,Clayton,5 Years Old and Younger,26
2014,Calhoun,6 to 10 Years Old,12
2009,Jefferson,5 Years Old and Younger,19
2005,Adams,6 to 10 Years Old,6
2016,Winneshiek,5 Years Old and Younger,9
2009,Pocahontas,11 Years Old and Older,3
2004,Carroll,6 to 10 Years Old,11
2012,Keokuk,6 to 10 Years Old,8
2009,Clay,6 to 10 Years Old,18
2017,Des Moines,6 to 10 Years Old,82
2004,Clinton,5 Years Old and Younger,49
2010,Hancock,5 Years Old and Younger,17
2006,Madison,5 Years Old and Younger,19
2014,Humboldt,6 to 10 Years Old,8
2011,Clarke,6 to 10 Years Old,15
2011,Marshall,5 Years Old and Younger,124
2006,Allamakee,6 to 10 Years Old,11
2013,Clarke,5 Years Old and Younger,11
2017,Warren,6 to 10 Years Old,45
2005,Kossuth,5 Years Old and Younger,32
2009,Pottawattamie,6 to 10 Years Old,122
2005,Crawford,11 Years Old and Older,20
2017,Winnebago,11 Years Old and Older,4
2006,Cerro Gordo,5 Years Old and Younger,126
2016,Des Moines,5 Years Old and Younger,96
2006,Benton,6 to 10 Years Old,28
2007,Mitchell,6 to 10 Years Old,8
2014,Appanoose,6 to 10 Years Old,11
2009,Henry,5 Years Old and Younger,38
2006,Henry,11 Years Old and Older,30
2011,Winnebago,11 Years Old and Older,13
2017,Woodbury,11 Years Old and Older,150
2014,Johnson,6 to 10 Years Old,42
2006,Chickasaw,6 to 10 Years Old,16
2006,Jefferson,11 Years Old and Older,26
2017,Taylor,6 to 10 Years Old,5
2013,Cherokee,6 to 10 Years Old,11
2012,Crawford,5 Years Old and Younger,32
2010,Dallas,11 Years Old and Older,41
2010,Warren,6 to 10 Years Old,32
2007,Clayton,11 Years Old and Older,21
2005,Dallas,11 Years Old and Older,53
2008,Chickasaw,11 Years Old and Older,7
2010,Winnebago,11 Years Old and Older,9
2007,Jasper,5 Years Old and Younger,90
2012,Chickasaw,11 Years Old and Older,11
2012,Shelby,6 to 10 Years Old,8
2008,Linn,6 to 10 Years Old,163
2008,Decatur,6 to 10 Years Old,14
2004,Pottawattamie,6 to 10 Years Old,153
2007,Kossuth,11 Years Old and Older,17
2012,Warren,5 Years Old and Younger,66
2009,Floyd,5 Years Old and Younger,42
2012,Pocahontas,6 to 10 Years Old,19
2004,Woodbury,11 Years Old and Older,120
2013,Grundy,6 to 10 Years Old,7
2009,Ida,11 Years Old and Older,2
2016,Cedar,11 Years Old and Older,14
2006,Hancock,11 Years Old and Older,8
2007,Ida,6 to 10 Years Old,5
2010,Mahaska,11 Years Old and Older,23
2006,Wapello,6 to 10 Years Old,100
2005,Sioux,11 Years Old and Older,14
2017,Hancock,6 to 10 Years Old,4
2017,Marion,5 Years Old and Younger,35
2011,Shelby,6 to 10 Years Old,13
2006,Pottawattamie,6 to 10 Years Old,111
2006,Fremont,6 to 10 Years Old,9
2017,Fremont,6 to 10 Years Old,11
2010,Sac,6 to 10 Years Old,8
2014,Fayette,6 to 10 Years Old,16
2007,Hardin,6 to 10 Years Old,20
2014,Chickasaw,6 to 10 Years Old,11
2010,Allamakee,11 Years Old and Older,4
2006,Sac,11 Years Old and Older,10
2007,Pocahontas,11 Years Old and Older,7
2006,Dallas,11 Years Old and Older,46
2006,Bremer,11 Years Old and Older,26
2007,Carroll,6 to 10 Years Old,26
2005,Mahaska,6 to 10 Years Old,36
2005,Humboldt,11 Years Old and Older,3
2011,Clayton,6 to 10 Years Old,8
2006,Lucas,5 Years Old and Younger,20
2005,Kossuth,11 Years Old and Older,16
2006,Floyd,6 to 10 Years Old,27
2011,Adair,6 to 10 Years Old,4
2012,Buchanan,11 Years Old and Older,24
2015,Black Hawk,5 Years Old and Younger,228
2009,Warren,5 Years Old and Younger,65
2017,Harrison,6 to 10 Years Old,10
2004,Humboldt,5 Years Old and Younger,12
2014,Tama,11 Years Old and Older,14
2012,Iowa,5 Years Old and Younger,15
2008,Calhoun,6 to 10 Years Old,8
2017,Crawford,11 Years Old and Older,8
2006,Fremont,5 Years Old and Younger,11
2006,Muscatine,11 Years Old and Older,57
2013,Story,5 Years Old and Younger,126
2011,Cherokee,6 to 10 Years Old,14
2011,Decatur,11 Years Old and Older,2
2016,Decatur,5 Years Old and Younger,12
2009,Lucas,11 Years Old and Older,8
2013,Des Moines,6 to 10 Years Old,56
2013,Warren,5 Years Old and Younger,71
2017,Chickasaw,11 Years Old and Older,12
2010,Story,11 Years Old and Older,53
2005,Lucas,11 Years Old and Older,23
2008,Fremont,6 to 10 Years Old,11
2017,Crawford,6 to 10 Years Old,14
2008,Lee,6 to 10 Years Old,42
2007,Franklin,11 Years Old and Older,16
2017,Winneshiek,6 to 10 Years Old,13
2011,Harrison,11 Years Old and Older,17
2011,Winneshiek,6 to 10 Years Old,13
2011,Harrison,6 to 10 Years Old,16
2012,Monroe,6 to 10 Years Old,12
2005,Washington,6 to 10 Years Old,17
2010,Pottawattamie,11 Years Old and Older,87
2006,Cherokee,6 to 10 Years Old,9
2017,Crawford,5 Years Old and Younger,30
2017,Hardin,11 Years Old and Older,21
2013,Greene,11 Years Old and Older,8
2006,Cass,11 Years Old and Older,18
2006,Madison,11 Years Old and Older,9
2005,Jones,5 Years Old and Younger,20
2008,Fayette,6 to 10 Years Old,16
2006,Wright,6 to 10 Years Old,13
2004,Black Hawk,5 Years Old and Younger,378
2004,Hardin,11 Years Old and Older,11
2006,Pocahontas,11 Years Old and Older,8
2014,Jackson,6 to 10 Years Old,12
2007,Guthrie,6 to 10 Years Old,9
2011,Iowa,5 Years Old and Younger,14
2012,Floyd,5 Years Old and Younger,45
2010,Bremer,6 to 10 Years Old,21
2012,Ida,11 Years Old and Older,2
2010,Guthrie,6 to 10 Years Old,2
2010,Henry,6 to 10 Years Old,29
2005,Carroll,5 Years Old and Younger,44
2005,Decatur,5 Years Old and Younger,20
2015,Clay,5 Years Old and Younger,22
2005,Plymouth,5 Years Old and Younger,48
2009,Clayton,5 Years Old and Younger,17
2011,Polk,11 Years Old and Older,331
2013,Benton,6 to 10 Years Old,15
2014,Johnson,5 Years Old and Younger,71
2016,Clinton,6 to 10 Years Old,68
2008,Decatur,11 Years Old and Older,7
2007,Marshall,5 Years Old and Younger,89
2004,Cass,11 Years Old and Older,18
2007,Sac,5 Years Old and Younger,13
2013,Mills,5 Years Old and Younger,18
2014,Henry,5 Years Old and Younger,26
2005,Wright,6 to 10 Years Old,8
2004,Adair,11 Years Old and Older,9
2005,Story,11 Years Old and Older,34
2017,Mahaska,11 Years Old and Older,26
2011,Palo Alto,6 to 10 Years Old,12
2008,Van Buren,11 Years Old and Older,4
2017,Dallas,5 Years Old and Younger,49
2006,Sioux,5 Years Old and Younger,29
2011,Page,6 to 10 Years Old,25
2014,Keokuk,5 Years Old and Younger,10
2006,Adair,6 to 10 Years Old,8
2008,Mitchell,6 to 10 Years Old,9
2005,Ringgold,6 to 10 Years Old,6
2013,Mitchell,11 Years Old and Older,2
2006,Marion,6 to 10 Years Old,18
2012,Lucas,11 Years Old and Older,9
2012,Madison,5 Years Old and Younger,14
2014,Scott,5 Years Old and Younger,216
2008,Allamakee,6 to 10 Years Old,1
2017,Madison,6 to 10 Years Old,16
2012,Cedar,5 Years Old and Younger,30
2016,Hamilton,11 Years Old and Older,14
2005,Appanoose,5 Years Old and Younger,46
2012,Kossuth,11 Years Old and Older,10
2007,Howard,11 Years Old and Older,4
2011,Cedar,6 to 10 Years Old,11
2017,Louisa,5 Years Old and Younger,21
2009,Ringgold,11 Years Old and Older,3
2008,Marshall,6 to 10 Years Old,77
2017,Emmet,5 Years Old and Younger,46
2007,Chickasaw,5 Years Old and Younger,32
2005,Jackson,6 to 10 Years Old,13
2013,Iowa,5 Years Old and Younger,21
2012,Delaware,6 to 10 Years Old,14
2005,Jasper,5 Years Old and Younger,64
2012,Worth,6 to 10 Years Old,6
2014,Winneshiek,11 Years Old and Older,9
2005,Sioux,6 to 10 Years Old,10
2010,Guthrie,5 Years Old and Younger,4
2010,Jones,6 to 10 Years Old,14
2004,Keokuk,5 Years Old and Younger,24
2017,Worth,6 to 10 Years Old,6
2007,Jasper,6 to 10 Years Old,39
2012,Palo Alto,11 Years Old and Older,5
2013,Humboldt,11 Years Old and Older,17
2012,Dubuque,6 to 10 Years Old,70
2013,Dubuque,6 to 10 Years Old,108
2008,Taylor,11 Years Old and Older,3
2014,Lee,6 to 10 Years Old,32
2006,Linn,6 to 10 Years Old,272
2013,Taylor,5 Years Old and Younger,12
2017,Jackson,5 Years Old and Younger,27
2008,Franklin,6 to 10 Years Old,12
2014,Muscatine,5 Years Old and Younger,63
2011,Ida,5 Years Old and Younger,13
2012,Clarke,11 Years Old and Older,7
2017,Decatur,11 Years Old and Older,11
2005,Plymouth,11 Years Old and Older,20
2012,Kossuth,6 to 10 Years Old,13
2011,Delaware,6 to 10 Years Old,11
2011,Wayne,6 to 10 Years Old,7
2012,Wayne,5 Years Old and Younger,2
2009,Plymouth,11 Years Old and Older,8
2016,Benton,5 Years Old and Younger,40
2007,Washington,5 Years Old and Younger,27
2014,Grundy,6 to 10 Years Old,8
2009,Sac,11 Years Old and Older,10
2006,Marion,11 Years Old and Older,32
2009,Mills,6 to 10 Years Old,11
2010,Cerro Gordo,5 Years Old and Younger,141
2010,Ida,6 to 10 Years Old,10
2005,Floyd,6 to 10 Years Old,21
2009,Decatur,6 to 10 Years Old,14
2007,Linn,11 Years Old and Older,215
2010,Winnebago,5 Years Old and Younger,22
2017,Ida,6 to 10 Years Old,12
2012,Floyd,11 Years Old and Older,17
2009,Butler,5 Years Old and Younger,34
2012,Scott,6 to 10 Years Old,181
2011,Henry,11 Years Old and Older,28
2006,Greene,6 to 10 Years Old,7
2004,Osceola,5 Years Old and Younger,13
2011,Dallas,6 to 10 Years Old,30
2012,Union,6 to 10 Years Old,26
2011,Adair,11 Years Old and Older,2
2014,Union,5 Years Old and Younger,17
2004,Hancock,6 to 10 Years Old,12
2016,Clayton,6 to 10 Years Old,10
2011,Benton,6 to 10 Years Old,13
2008,Black Hawk,6 to 10 Years Old,170
2009,Scott,11 Years Old and Older,167
2005,Hardin,11 Years Old and Older,25
2017,Cherokee,11 Years Old and Older,6
2013,Decatur,5 Years Old and Younger,24
2012,Cherokee,5 Years Old and Younger,15
2007,Fayette,5 Years Old and Younger,61
2008,Warren,6 to 10 Years Old,54
2004,Muscatine,11 Years Old and Older,62
2004,Delaware,11 Years Old and Older,18
2011,Cedar,5 Years Old and Younger,19
2013,Monroe,6 to 10 Years Old,11
2016,Pocahontas,5 Years Old and Younger,11
2015,Marion,11 Years Old and Older,37
2017,Adams,5 Years Old and Younger,6
2004,Clayton,6 to 10 Years Old,21
2010,Clayton,11 Years Old and Older,13
2013,Monroe,5 Years Old and Younger,9
2015,Hamilton,6 to 10 Years Old,13
2004,Scott,11 Years Old and Older,172
2006,Louisa,5 Years Old and Younger,19
2004,Adair,6 to 10 Years Old,5
2007,Jefferson,5 Years Old and Younger,31
2007,Humboldt,11 Years Old and Older,6
2011,Hardin,5 Years Old and Younger,48
2016,Butler,5 Years Old and Younger,16
2006,Audubon,6 to 10 Years Old,7
2009,Taylor,11 Years Old and Older,6
2006,Palo Alto,5 Years Old and Younger,23
2010,Cherokee,5 Years Old and Younger,12
2011,Mahaska,11 Years Old and Older,42
2006,Lee,5 Years Old and Younger,101
2006,Kossuth,11 Years Old and Older,18
2012,Clayton,5 Years Old and Younger,30
2007,Franklin,5 Years Old and Younger,19
2010,Johnson,5 Years Old and Younger,193
2008,Lyon,11 Years Old and Older,11
2014,Winnebago,5 Years Old and Younger,7
2016,Adair,6 to 10 Years Old,10
2017,Polk,5 Years Old and Younger,857
2006,Boone,6 to 10 Years Old,22
2009,Cherokee,5 Years Old and Younger,14
2010,Keokuk,6 to 10 Years Old,17
2016,Clay,11 Years Old and Older,18
2009,Montgomery,11 Years Old and Older,8
2009,Carroll,11 Years Old and Older,10
2013,Palo Alto,6 to 10 Years Old,16
2009,Appanoose,6 to 10 Years Old,28
2005,Jones,11 Years Old and Older,19
2011,Wright,11 Years Old and Older,13
2008,Wayne,6 to 10 Years Old,1
